input,result3,result2,result1
"[0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 7]","[17, 1, 15]","[17, 1, 15]"
"[0, 0, 5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 12, 1]","[1, 15, 7]","[1, 15, 7]"
"[0, 5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 10, 4]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 0, 5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 18, 6]","[1, 17, 15]","[1, 17, 15]"
"[5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 6]","[1, 15, 18]","[1, 15, 18]"
"[0, 0, 0, 0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[17, 1, 7]","[17, 1, 7]"
"[0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 18]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 0, 0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 19]","[1, 13, 15]","[1, 13, 15]"
"[5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 18]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 19]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 4, 7]","[1, 15, 18]","[1, 15, 18]"
"[0, 5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 4, 5]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 15]","[15, 1, 0]","[15, 1, 0]"
"[0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 12, 1]","[1, 15, 17]","[1, 15, 17]"
"[0, 0, 5, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[17, 1, 15]","[17, 1, 15]"
"[5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 10]","[15, 17, 13]","[15, 17, 13]"
"[0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[15, 13, 0]","[15, 13, 0]"
"[5, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 11, 5]","[17, 1, 7]","[17, 1, 7]"
"[5, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 1]","[7, 1, 17]","[7, 1, 17]"
"[0, 5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 12, 8]","[15, 0, 13]","[15, 0, 13]"
