userid,playtime_forever
76561198021458557,6167
76561198141514484,3372
76561198128875492,2453
76561198211170751,7301
76561198364972796,3921
76561198008637711,2113
76561198338482937,471
76561198153421291,6041
76561197960902436,5281
76561198169905895,3691
76561198198157933,1582
76561198054443568,1109
76561198254632411,4343
userid,playtime_forever
76561198027866461,10688
76561198396098291,4441
76561198178254211,5017
76561198302405933,4845
76561197993503121,2987
76561198136457220,7199
76561198071136100,651
76561198128119712,1630
76561198116717998,3270
76561198860719083,5741
76561198040821210,4901
76561198113146093,3273
76561198074804558,2792
76561198113593074,3616
76561198133364023,2535
76561197996697128,2943
76561198118604066,3971
76561198046232230,3860
76561198114601269,5588
76561198862566952,644
userid,playtime_forever
76561197972968223,4168
76561198080804421,2104
76561198424060479,2525
76561198133256952,2521
76561197995429755,3487
76561198033221756,1473
76561198026573683,7131
76561198030506333,1776
76561198028935326,31
76561198194314911,4027
76561197992457908,1524
76561198078369208,1685
76561198212162148,2679
76561198024301834,2339
76561198024485401,3279
76561198216531863,4759
76561198020147165,2497
76561198093040150,2344
76561198247160252,4440
76561198068939014,16
userid,playtime_forever
76561197970551208,2607
76561198029129708,4508
76561198140053713,3382
76561198041621646,2084
76561198152337735,7854
76561198144638915,2133
76561198038166267,2568
76561198091198898,4773
76561198157374216,1508
76561198046652356,3487
76561198167072500,4071
76561198002598198,3867
76561197980031245,2099
76561198422613680,40
76561198045231627,3325
76561197985009898,54
76561198075771939,2989
76561198145969414,3235
76561198043331001,5211
76561198325435634,393
userid,playtime_forever
76561198839092250,2825
76561198136795306,2562
76561198093458804,1248
76561198208668817,12383
76561198027571149,1718
76561197966139062,4390
76561198116612689,2322
76561198099124067,3296
76561198060951089,4463
76561198946723557,1360
76561198140116307,5069
76561198033291169,5571
76561198156878265,3342
76561198036652709,4835
76561198141521693,3934
76561197962786553,4693
76561197998872903,4743
76561198188093677,1696
76561198216614460,3427
76561198057909917,4206
userid,playtime_forever
76561198209002769,760
76561197979998399,2290
76561198896441502,217
76561198120366216,42292
76561198042683781,2905
76561198259981043,377
76561197985722163,316
76561198086808750,2418
76561197976694006,4081
76561198336852269,462
76561198091130356,1750
76561198095989065,1005
76561198045993697,4295
76561198058436156,3261
76561198155694162,6426
76561198068101374,4811
76561198160579793,3415
76561198322096305,4159
76561198066072858,286
76561198263090270,3719
userid,playtime_forever
76561198088489501,807
76561198275056869,2664
76561198146400916,1395
76561198027825557,2107
76561198032739399,2382
76561198089027807,3349
76561197996050501,1840
76561198080249508,2018
76561198192594538,79
76561197991005369,1928
76561198119711749,11041
76561198104155901,4282
76561198141836561,758
76561198041088160,1466
76561198035239764,5389
76561198129323528,1275
76561198260391424,2894
76561198044258651,2281
76561198145175472,588
76561198087051501,4198
userid,playtime_forever
76561198328448178,4644
76561198010980714,2424
76561198176046417,5295
76561197998807388,4882
76561198359001044,1432
76561198014544733,6632
76561198155547418,6300
76561198047232617,7937
76561198195347581,4002
76561198065801489,3360
76561198114310545,4503
76561198063615643,5856
76561198116405688,613
76561198034551022,3113
76561198411658776,1857
76561198121582338,9425
76561198876308619,3110
76561198049806724,4232
76561198075695701,2176
76561198036822780,2217
userid,playtime_forever
76561198374875828,25
76561198041127721,34
76561198190635759,3777
76561198094162506,3669
76561198111766503,4390
76561198084818456,5934
76561198257234511,926
76561198108455610,2864
76561198076711363,2717
76561198043643905,2015
76561198119650261,1042
76561198051397823,4116
76561198042146945,2136
76561198113023988,2505
76561198263051168,7451
76561198001119134,5315
76561198041062821,2666
76561198047642759,2082
76561198073541150,2345
76561198885677027,2746
userid,playtime_forever
76561198084423946,4852
76561198067139020,3205
76561198144011877,1469
76561197993330316,5735
76561198053895161,5863
76561198162500259,2930
76561198797701533,5383
76561198173304110,3316
76561198279670721,4490
76561198252338752,3516
76561198239401604,172
76561198110873281,1510
76561198440615166,5365
76561198823878408,4822
76561197972065350,2316
76561197989395104,2350
76561197979268628,3016
76561198110253903,2565
76561198208078171,291
76561198071614240,3018
userid,playtime_forever
76561197995354153,4767
76561198116686070,2443
76561198064019667,1529
76561198046374898,3672
76561198104392527,3694
76561198124115803,3110
76561198033179791,5882
76561198046676054,2735
76561198028883987,4668
76561198047030751,3660
76561197996585809,4033
76561198065675450,2799
76561198064352772,6541
76561198042096892,1069
76561198102361552,2047
76561198119471338,4076
76561198305877284,7925
76561198096231291,2481
76561198055385392,2299
76561197980109046,3295
userid,playtime_forever
76561197989802807,373
76561198072914772,2605
76561198129431036,3092
76561198148229355,3251
76561198153233860,2359
76561198215075821,3342
76561197994553754,2505
76561198256145532,4896
76561198204332719,3234
76561198064811677,1515
76561198269201622,5522
76561198258340050,3337
76561198254347917,2705
76561198013255806,5524
76561198158815898,4194
76561198046671978,785
76561198044798742,4349
76561198043776328,764
76561198014250475,559
76561198056962261,2452
userid,playtime_forever
76561197970858322,3187
76561198043499627,1208
76561198113047261,2657
76561198025501580,6603
76561198071646692,6420
76561198128053744,1962
76561198120403905,2456
76561198180185729,3937
76561198281905363,4849
76561198027731723,4311
76561197980977456,2979
76561198067994577,1597
76561197962980878,17973
76561198298834861,2396
76561198007845892,5617
76561197982599501,1147
76561198004454734,3846
76561198037802725,1654
76561198027157401,4580
76561198127222505,3109
userid,playtime_forever
76561197991033396,340
76561198330955247,2793
76561198069718397,2469
76561198039854864,2596
76561198007484213,4355
76561198042237966,2270
76561198035145607,2004
76561198154482857,3485
76561198014519134,3819
76561198149431969,2302
76561197993295638,2094
76561197993617615,6223
76561198074725794,2171
76561198060043565,7633
76561198028380940,2240
76561198302435098,3799
76561198142433624,2499
76561198041619440,10158
76561198411775378,2139
76561198029480609,3723
userid,playtime_forever
76561197967575782,5996
76561198349210034,825
76561198118689626,807
76561198214288617,5096
76561198037764711,4460
76561197963129976,3948
76561198034212412,2942
76561198039458268,1049
76561198030020746,167
76561198015437838,3227
76561198010235210,2737
76561198032027383,2822
76561198008143629,2594
76561198158916751,1094
76561198296499742,2181
76561198240800992,3605
76561198125230312,6291
76561198117670481,2153
76561198014199020,5781
76561198020888622,3195
userid,playtime_forever
76561198277504441,1814
76561198040692932,2146
76561198067053464,2084
76561197988105359,3376
76561198189328322,6540
76561198043843958,1567
76561198002873239,6000
76561198065821387,3314
76561198122679416,504
76561198071461334,2924
76561198042295473,3783
76561198045743463,3115
76561198236966180,3056
76561198111489997,2747
76561198003229779,2227
76561198048274208,1987
76561198161046780,2733
76561198276498379,4452
76561198386594530,1568
76561198928548645,1336
userid,playtime_forever
76561198291492360,3127
76561198934532197,11478
76561198029748921,4065
76561198081305920,2245
76561197993307624,1599
76561198223275328,3128
76561198034466013,2564
76561198351695634,2977
76561198137584278,7199
76561198158075287,15
76561198017109350,3460
76561198056602136,4060
76561198338857930,2513
76561198136041984,3630
76561198041692928,583
76561198099529002,1692
76561198396926865,2581
76561198013180364,1941
76561198057741041,2348
76561198271884790,2590
userid,playtime_forever
76561197994812221,4823
76561198020080815,4540
76561198017153999,4094
76561198048676694,2159
76561198057830265,5184
76561198100025490,2459
76561198257285429,4562
76561198092752082,8673
76561198092066772,2594
76561198025457152,4395
76561198151138505,3878
76561198055701706,2666
76561198127011902,4358
76561198151771177,2020
76561198054607979,5299
76561198121171547,3055
76561198369243661,3605
76561198071118883,2271
76561198214331439,579
76561198049362201,2937
userid,playtime_forever
76561198162046844,5740
76561198292849218,1827
76561198100641621,2044
76561198026299448,1442
76561198350976816,1092
76561198136868737,2792
76561198119616499,2131
76561198871410426,910
76561198041765678,2133
76561198269368527,3285
76561198073915100,2216
76561198100143702,5241
76561198089267846,850
76561198089551359,284
76561198035285006,4667
76561198057990010,4538
76561198278752417,987
76561198271934825,1222
76561198276478750,620
76561198067419582,4636
userid,playtime_forever
76561198350099968,807
76561198057521525,2120
76561198149090917,768
76561198018200437,3686
76561197980233198,7784
76561198137634234,2835
76561198891031566,1745
76561198880633411,263
76561198172392633,265
76561198114003658,863
76561198117556316,2227
76561198058756466,4559
76561198074749094,4872
76561198254642238,1329
76561198071376085,4204
76561197993434939,354
76561198025391979,5668
76561198261367534,5763
76561198114651904,1976
76561198032116584,5116
userid,playtime_forever
76561198109188561,3497
76561198070493731,4166
76561197990574800,4158
76561198067794127,5099
76561198076423917,4529
76561198390761542,1687
76561198391429475,4059
76561198259653674,1991
76561197966579420,2888
76561198137181423,2076
76561198249885428,985
76561198262124866,2319
76561198243603488,3116
76561198054979844,2577
76561198095407179,1271
76561198136450295,753
76561198159059580,3938
76561197992734842,479
76561198804651355,1182
76561198256222641,4708
userid,playtime_forever
76561198023714338,2634
76561198823620648,3796
76561198048122854,3299
76561198126306382,1458
76561198029743548,3707
76561198123431850,5313
76561198054904384,5261
76561198263965023,99
76561198042701618,5250
76561198044171485,2937
